t_s,theta_rad_clean,omega_rad_s_clean,theta_rad_noisy,omega_rad_s_noisy
1.740000,0.1325780334,-2.1117068078,0.1353449414,-2.1145135586
1.750000,0.1113381567,-2.1355791386,0.1196099892,-2.1525087068
1.760000,0.0898803292,-2.1552882158,0.0900103481,-2.1562716120
1.770000,0.0682464294,-2.1707865185,0.0827817702,-2.1806724296
1.780000,0.0464787610,-2.1820365029,0.0438321927,-2.1930723961
1.790000,0.0246199527,-2.1890108185,0.0518216444,-2.1872118770
1.800000,0.0027128547,-2.1916924683,0.0089695282,-2.1777724454
1.810000,-0.0191995648,-2.1900749082,-0.0277711404,-2.1808917422
1.820000,-0.0410743247,-2.1841620862,-0.0517832497,-2.1998670923
1.830000,-0.0628685359,-2.1739684185,-0.0580438117,-2.1838646999
1.840000,-0.0845395052,-2.1595187052,-0.0867741330,-2.1501109933
1.850000,-0.1060448388,-2.1408479847,-0.0989048339,-2.1506728586
1.860000,-0.1273425440,-2.1180013312,-0.1226101677,-2.1202476627
1.870000,-0.1483911275,-2.0910335963,-0.1491194166,-2.0855330753
1.880000,-0.1691496924,-2.0600091001,-0.1776176295,-2.0696925446
1.890000,-0.1895780308,-2.0250012753,-0.2047265030,-2.0239475203
1.900000,-0.2096367130,-1.9860922705,-0.2141018625,-1.9994325255
1.910000,-0.2292871728,-1.9433725170,-0.2207231849,-1.9493861934
1.920000,-0.2484917876,-1.8969402666,-0.2463508501,-1.8937424472
1.930000,-0.2672139543,-1.8469011059,-0.2796713421,-1.8628310432
1.940000,-0.2854181607,-1.7933674530,-0.2836863514,-1.7889627056
1.950000,-0.3030700502,-1.7364580445,-0.2992168764,-1.7366544225
1.960000,-0.3201364836,-1.6762974174,-0.3289750579,-1.6707725179
1.970000,-0.3365855934,-1.6130153932,-0.3350483423,-1.6107762519
1.980000,-0.3523868350,-1.5467465696,-0.3518047478,-1.5331051653
1.990000,-0.3675110313,-1.4776298243,-0.3789407343,-1.4763775793
2.000000,-0.3819304136,-1.4058078373,-0.3783525400,-1.4101018927
2.010000,-0.3956186570,-1.3314266346,-0.3900108117,-1.3302036595
2.020000,-0.4085509118,-1.2546351571,-0.3977203993,-1.2492021768
2.030000,-0.4207038305,-1.1755848589,-0.4101658100,-1.1750962582
2.040000,-0.4320555913,-1.0944293357,-0.4458322850,-1.0940234188
2.050000,-0.4425859176,-1.0113239858,-0.4519641680,-1.0183439027
2.060000,-0.4522760945,-0.9264257050,-0.4471257418,-0.9330547142
2.070000,-0.4611089822,-0.8398926147,-0.4559711227,-0.8539186675
2.080000,-0.4690690277,-0.7518838241,-0.4639185508,-0.7343880567
2.090000,-0.4761422726,-0.6625592243,-0.4376149577,-0.6749978567
2.100000,-0.4823163611,-0.5720793143,-0.4766074560,-0.5790083663
2.110000,-0.4875805444,-0.4806050555,-0.4762248880,-0.4877891282
2.120000,-0.4919256853,-0.3882977527,-0.4823856677,-0.3793485089
2.130000,-0.4953442611,-0.2953189592,-0.4888303486,-0.2982684560
2.140000,-0.4978303653,-0.2018304023,-0.5009830578,-0.1893529816
2.150000,-0.4993797094,-0.1079939251,-0.4917900172,-0.1147288313
2.160000,-0.4999896238,-0.0139714420,-0.5077178759,-0.0111815004
2.170000,-0.4996590581,0.0800750971,-0.5020272441,0.0717216265
2.180000,-0.4983885815,0.1739837379,-0.5032422170,0.1954352292
2.190000,-0.4961803827,0.2675925522,-0.4953616413,0.2557165680
